,cs_id_100,100,cs_id_200,200,cs_id_300,300,cs_id_358,358,cs_id_966,966,cluster_size
79,ENSG00000117505_L1_100,87,ENSG00000117505_L1_200,100,ENSG00000117505_L1_300,84,ENSG00000117505_L1_358,41,ENSG00000117505_L1_966,63,5.0
80,ENSG00000122481_L1_100,36,ENSG00000122481_L1_200,37,ENSG00000122481_L1_300,33,ENSG00000122481_L1_358,32,ENSG00000122481_L1_966,11,5.0
81,,,ENSG00000054523_L1_200,34,,,ENSG00000054523_L1_358,29,ENSG00000054523_L1_966,1,3.0
82,,,ENSG00000243480_L1_200,22,ENSG00000243480_L1_300,19,ENSG00000243480_L1_358,17,,,3.0
83,,,ENSG00000273443_L1_200,7,ENSG00000273443_L1_300,3,ENSG00000273443_L1_358,2,ENSG00000273443_L1_966,2,4.0
84,,,ENSG00000162631_L1_200,10,,,,,,,1.0
85,,,ENSG00000134201_L1_200,1,ENSG00000134201_L1_300,1,ENSG00000134201_L1_358,1,ENSG00000134201_L1_966,1,4.0
86,,,ENSG00000213366_L1_200,1,,,ENSG00000213366_L1_358,1,ENSG00000213366_L1_966,1,3.0
87,,,ENSG00000134255_L1_200,31,ENSG00000134255_L1_300,9,ENSG00000134255_L1_358,9,,,3.0
88,,,ENSG00000173947_L1_200,57,,,,,ENSG00000173947_L1_966,54,2.0
89,,,ENSG00000203865_L1_200,1,ENSG00000203865_L1_300,1,ENSG00000203865_L1_358,1,ENSG00000203865_L1_966,1,4.0
90,,,ENSG00000285646_L1_200,31,ENSG00000285646_L1_300,27,ENSG00000285646_L1_358,26,ENSG00000285646_L1_966,16,4.0
91,,,ENSG00000116874_L1_200,58,ENSG00000116874_L1_300,54,,,,,2.0
92,,,ENSG00000160072_L1_200,4,,,,,ENSG00000160072_L1_966,3,2.0
93,,,ENSG00000226067_L1_200,3,ENSG00000226067_L1_300,3,ENSG00000226067_L1_358,2,ENSG00000226067_L1_966,4,4.0
94,,,ENSG00000242485_L1_200,6,ENSG00000242485_L1_300,2,ENSG00000242485_L1_358,2,ENSG00000242485_L1_966,1,4.0
95,,,ENSG00000278811_L1_200,105,ENSG00000278811_L1_300,105,ENSG00000278811_L1_358,101,ENSG00000278811_L1_966,102,4.0
96,,,ENSG00000162836_L1_200,1,ENSG00000162836_L1_300,1,ENSG00000162836_L1_358,1,ENSG00000162836_L1_966,1,4.0
97,,,ENSG00000274265_L1_200,10,ENSG00000274265_L1_300,8,ENSG00000274265_L1_358,8,ENSG00000274265_L1_966,6,4.0
98,,,ENSG00000197747_L1_200,14,ENSG00000197747_L1_300,10,ENSG00000197747_L1_358,11,ENSG00000197747_L1_966,8,4.0
